Vf_m3,W_J
0.1,-0.0
0.10200000000000001,-49.19661134730856
0.10400000000000001,-97.06095210644327
0.10600000000000001,-143.65369877227855
0.10800000000000001,-189.0316858204049
0.11000000000000001,-233.24821478363975
0.11200000000000002,-276.3533333609363
0.114,-318.3940879416924
0.116,-359.4147524945365
0.11800000000000001,-399.457036397837
0.12000000000000001,-438.5602734696946
0.12200000000000001,-476.76159417988754
0.12400000000000001,-514.0960827884476
0.126,-550.5969209496122
0.128,-586.2955191411197
0.13,-621.2216371232525
0.132,-655.403494496368
0.134,-688.8678723070695
0.136,-721.6402065493019
0.138,-753.7446743154951
0.14,-785.204273272697
0.14200000000000002,-816.0408950679864
0.14400000000000002,-846.2753932050839
0.14600000000000002,-875.9276458789166
0.14800000000000002,-905.0166142060084
0.15000000000000002,-933.5603962451944
0.15200000000000002,-961.5762771645832
0.15400000000000003,-989.0807758763564
0.15600000000000003,-1016.0896884303621
0.15800000000000003,-1042.618128430094
0.16000000000000003,-1068.680564710182
0.16200000000000003,-1094.2908564925815
0.16400000000000003,-1119.4622862189842
0.16600000000000004,-1144.207590239289
0.16800000000000004,-1168.5389875200783
0.17000000000000004,-1192.4682065227182
0.17200000000000004,-1216.0065103877773
0.17400000000000004,-1239.1647205507988
0.17600000000000002,-1261.9532389039011
0.17800000000000002,-1284.3820686081388
0.18000000000000002,-1306.460833652891
0.18200000000000002,-1328.1987972507022
0.18400000000000002,-1349.6048791488447
0.18600000000000003,-1370.6876719324061
0.18800000000000003,-1391.45545638778
0.19000000000000003,-1411.9162159900666
0.19200000000000003,-1432.07765057297
0.19400000000000003,-1451.9471892353063
0.19600000000000004,-1471.5320025341268
0.198,-1490.8390140107165
0.2,-1509.8749110922968
0.202,-1528.6461554091086
0.20400000000000001,-1547.1589925636686
0.20600000000000002,-1565.4194613863372
0.20800000000000002,-1583.4334027089071
0.21000000000000002,-1601.2064676856685
0.21200000000000002,-1618.7441256893576
0.21400000000000002,-1636.0516718074866
0.21600000000000003,-1653.1342339627986
0.21800000000000003,-1669.9967796799872
0.22000000000000003,-1686.6441225193118
0.22200000000000003,-1703.0809281963705
0.22400000000000003,-1719.31172040601
0.22600000000000003,-1735.3408863671796
0.22800000000000004,-1751.1726821044335
0.23000000000000004,-1766.811237480776
0.23200000000000004,-1782.260560995608
0.23400000000000004,-1797.5245443606536
0.23600000000000004,-1812.6069668659402
0.23800000000000004,-1827.5114995471563
0.24000000000000005,-1842.2417091650018
0.24200000000000005,-1856.801062006502
0.24400000000000005,-1871.192927517648
0.24600000000000005,-1885.4205817761638
0.24800000000000005,-1899.4872108126667
0.25,-1913.3959137880095
0.252,-1927.1497060341192
0.254,-1940.7515219652341
0.256,-1954.20421786603
0.258,-1967.5105745627611
0.26,-1980.673299983188
0.262,-1993.6950316107338
0.264,-2006.5783388380182
0.266,-2019.3257252246096
0.268,-2031.9396306635956
0.27,-2044.4224334612873
0.272,-2056.776452334171
0.274,-2069.003948326968
0.276,-2081.107126655479
0.278,-2093.088138477677
0.28,-2104.949082596341
0.28200000000000003,-2116.6920070963406
0.28400000000000003,-2128.3189109195255
0.28600000000000003,-2139.831745380019
0.28800000000000003,-2151.2324156225664
0.29000000000000004,-2162.522782026459
0.29200000000000004,-2173.704661557428
0.29400000000000004,-2184.7798290697688
0.29600000000000004,-2195.7500185608624
0.29800000000000004,-2206.6169243801387
0.30000000000000004,-2217.382202394427
