Vf_ms,W_J
0.1,-0.0
0.10200000000000001,-49.39171332497423
0.10400000000000001,-97.82430525587277
0.10600000000000001,-145.3343188739463
0.10800000000000001,-191.95624777908986
0.11000000000000001,-237.72268654108117
0.11200000000000002,-282.6644675933955
0.114,-326.81078600972194
0.116,-370.189313427929
0.11800000000000001,-412.8263022348446
0.12000000000000001,-454.7466809941984
0.12200000000000001,-495.97414198637813
0.12400000000000001,-536.5312216297567
0.126,-576.4393744671105
0.128,-615.7190413252832
0.13,-654.389712190231
0.132,-692.469984281633
0.134,-729.9776157602765
0.136,-766.9295754564846
0.138,-803.3420889681714
0.14,-839.2306814419996
0.14200000000000002,-874.6102173199694
0.14400000000000002,-909.4949373061393
0.14600000000000002,-943.8984927835677
0.14800000000000002,-977.8339778896578
0.15000000000000002,-1011.3139594385149
0.15200000000000002,-1044.350504861445
0.15400000000000003,-1076.9552083210538
0.15600000000000003,-1109.139215140367
0.15800000000000003,-1140.9132446757742
0.16000000000000003,-1172.2876117512621
0.16200000000000003,-1203.2722467611873
0.16400000000000003,-1233.876714539612
0.16600000000000004,-1264.1102320859336
0.16800000000000004,-1293.9816852289825
0.17000000000000004,-1323.4996443049913
0.17200000000000004,-1352.6723789186287
0.17400000000000004,-1381.5078718507182
0.17600000000000002,-1410.0138321711538
0.17800000000000002,-1438.1977076109133
0.18000000000000002,-1466.0666962428304
0.18200000000000002,-1493.627757516968
0.18400000000000002,-1520.88762269292
0.18600000000000003,-1547.852804708151
0.18800000000000003,-1574.5296075185831
0.19000000000000003,-1600.924134944926
0.19200000000000003,-1627.042299055822
0.19400000000000003,-1652.889828116592
0.19600000000000004,-1678.472274130326
0.198,-1703.7950199961522
0.2,-1728.8632863077657
0.202,-1753.6821378137015
0.20400000000000001,-1778.256489559345
0.20600000000000002,-1802.5911127293127
0.20800000000000002,-1826.6906402075763
0.21000000000000002,-1850.559571871532
0.21200000000000002,-1874.2022796351555
0.21400000000000002,-1897.623012255367
0.21600000000000003,-1920.8258999148438
0.21800000000000003,-1943.8149585936167
0.22000000000000003,-1966.5940942410507
0.22200000000000003,-1989.1671067590305
0.22400000000000003,-2011.5376938065237
0.22600000000000003,-2033.7094544350348
0.22800000000000004,-2055.6858925639112
0.23000000000000004,-2077.4704203038696
0.23200000000000004,-2099.0663611366454
0.23400000000000004,-2120.47695295817
0.23600000000000004,-2141.7053509922407
0.23800000000000004,-2162.7546305812534
0.24000000000000005,-2183.6277898601506
0.24200000000000005,-2204.3277523194224
0.24400000000000005,-2224.8573692626283
0.24600000000000005,-2245.219422163599
0.24800000000000005,-2265.4166249282134
0.25,-2285.451626065326
0.252,-2305.3270107712096
0.254,-2325.045302931594
0.256,-2344.608967045201
0.258,-2364.020410072425
0.26,-2383.2819832126356
0.262,-2402.3959836133795
0.264,-2421.3646560145903
0.266,-2440.190194330757
0.268,-2458.8747431738248
0.27,-2477.4203993194837
0.272,-2495.8292131193543
0.274,-2514.10318986143
0.276,-2532.2442910810623
0.278,-2550.2544358246028
0.28,-2568.135501867765
0.28200000000000003,-2585.889326890614
0.28400000000000003,-2603.5177096110433
0.28600000000000003,-2621.02241087848
0.28800000000000003,-2638.4051547294744
0.29000000000000004,-2655.6676294067697
0.29200000000000004,-2672.8114883433445
0.29400000000000004,-2689.8383511128773
0.29600000000000004,-2706.7498043479827
0.29800000000000004,-2723.5474026275347
0.30000000000000004,-2740.2326693343107
